iter	Passed	Remaining
859	418390	68110
860	418857	67620
861	419308	67128
862	419789	66641
863	420228	66147
864	420740	65664
865	421200	65174
866	421657	64683
867	422111	64192
868	422552	63698
869	423001	63207
870	423439	62713
871	423865	62218
872	424319	61728
873	424793	61240
874	425252	60750
875	425704	60259
876	426146	59767
877	426592	59275
878	427062	58787
879	427525	58298
880	427967	57807
881	428403	57314
882	428859	56825
883	429323	56336
884	429788	55848
885	430252	55359
886	430722	54872
887	431187	54383
888	431664	53897
889	432112	53407
890	432582	52919
891	433037	52430
892	433508	51943
893	433998	51458
894	434459	50970
895	434919	50481
896	435388	49994
897	435950	49517
898	436442	49033
899	436873	48541
900	437320	48051
901	437796	47565
902	438265	47078
903	438724	46590
904	439207	46104
905	439743	45624
906	440234	45139
907	440710	44653
908	441231	44171
909	441709	43685
910	442227	43203
911	442769	42723
912	443339	42245
913	443823	41760
914	444317	41275
915	444810	40790
916	445316	40306
917	445791	39820
918	446232	39330
919	446698	38843
920	447151	38354
921	447618	37867
922	448055	37378
923	448512	36890
924	448991	36404
925	449460	35917
926	449922	35430
927	450366	34942
928	450841	34456
929	451309	33969
930	451760	33481
931	452234	32995
932	452698	32508
933	453161	32022
934	453621	31535
935	454067	31047
936	454517	30559
937	454995	30074
938	455463	29588
939	455931	29101
940	456409	28616
941	456887	28131
942	457348	27644
943	457830	27159
944	458322	26674
945	458777	26188
946	459258	25702
947	459722	25216
948	460200	24731
949	460660	24245
950	461148	23760
951	461603	23274
952	462071	22788
953	462537	22302
954	463008	21817
955	463455	21330
956	463897	20843
957	464371	20358
958	464830	19872
959	465287	19386
960	465778	18902
961	466256	18417
962	466739	17932
963	467194	17447
964	467660	16961
965	468111	16475
966	468561	15990
967	469025	15504
968	469476	15019
969	469940	14534
970	470402	14049
971	470848	13563
972	471320	13078
973	471784	12593
974	472240	12108
975	472712	11624
976	473190	11139
977	473646	10654
978	474083	10169
979	474538	9684
980	475000	9199
981	475446	8714
982	475905	8230
983	476352	7745
984	476788	7260
985	477230	6776
986	477682	6291
987	478112	5807
988	478544	5322
989	479003	4838
990	479462	4354
991	479901	3870
992	480345	3386
993	480828	2902
994	481281	2418
995	481748	1934
996	482234	1451
997	482722	967
998	483177	483
999	483618	0
